Date,Open,High,Low,Close,Volume,Trend,Nextdaytrend
220908,227.29,227.29,214.71,215.29,4409119,0,0
190908,230.73,231.27,221.86,224.8,10008393,0,1
180908,211.53,219.81,205.46,219.76,8592097,1,0
170908,219.46,219.79,206.93,207.45,9129154,0,1
160908,213.19,224.86,212.96,221.69,6991767,1,1
150908,212.21,221.21,212.07,217.15,6568621,1,1
120908,215.32,221.22,214.71,219.05,6027927,1,1
110908,204.38,217.76,203.39,217.09,6472648,1,0
100908,212.45,212.45,205.04,207.29,6227792,0,0
90908,211.8,216.41,207.71,209.54,7231445,0,0
80908,226.24,226.7,208.98,210.18,9021498,0,0
50908,222.97,226.45,220.26,222.35,4538375,0,0
40908,230.23,231.85,224.92,225.36,4886656,0,0
30908,234.6,237.38,230.02,232.44,4315457,0,0
20908,238.62,241.33,230.94,232.86,6120696,0,0
290808,235.11,235.74,231.4,231.88,3848198,0,1
280808,236.48,238.46,235.4,237.13,3029755,1,0
270808,237.1,237.65,232.65,234.52,4388646,0,0
260808,241.97,241.97,235.53,237.32,3308534,0,0
250808,243.3,248.75,240.99,241.75,2015252,0,0
220808,246,247.68,244.98,245.54,2297253,0,1
210808,241.7,245.19,239.87,243.51,3514192,1,0
200808,247.61,248.59,241.53,242.74,3984524,0,1
190808,245.46,249.39,243.56,245.5,3046669,1,0
180808,255.17,255.26,248,249.4,3336321,0,1
150808,253.75,255.59,253,255.33,3545614,1,1
140808,249.1,254.06,248.39,253,2918940,1,0
130808,251.05,252.02,247.19,250.27,3626049,0,1
120808,251.25,253.32,249.25,251.56,2755768,1,1
110808,246.48,254.69,246.14,250.67,4241367,1,1
80808,240.32,248.12,238.08,247.75,3739462,1,0
70808,241.24,242.24,238.44,239.8,2773726,0,1
60808,239.42,245.13,236.49,243.41,3375880,1,1
50808,234.03,240.28,233.4,240.16,3584521,1,0
40808,234.29,236.74,231.18,231.73,2486956,0,0
10808,236.49,236.85,231.48,234.16,3008213,0,0
310708,237.52,240.69,235.96,237.11,2865036,0,0
300708,242.99,243.25,236.64,241.59,3491976,0,1
290708,239.89,243.87,239.24,241.8,2803356,1,0
280708,246.29,246.29,237.8,238.8,3164213,0,1
250708,243.49,246.81,240.99,246.24,3184517,1,0
240708,248.6,248.68,238.05,238.05,3544129,0,1
230708,241.05,248.86,239.29,244.85,4898469,1,1
220708,233.59,240.37,233.03,238.79,4694231,1,0
210708,240.68,242.29,233.08,234.63,5910402,0,0
180708,249.42,249.74,239.33,240.9,11294260,0,0
170708,267.35,268.79,262.51,266.99,8796466,0,1
160708,257.28,268.52,255.56,268.07,4744695,1,0
150708,258.4,264.01,250.8,258.3,6071955,0,0
140708,269.77,270.3,257.98,261.07,4425055,0,0
110708,268.52,270.02,259.97,267.17,4981837,0,0
100708,272.77,275.02,265.63,270.56,4332164,0,0
90708,275.66,278.12,270.64,271.05,4154089,0,1
80708,273.27,277.87,270.27,277.54,4933328,1,1
70708,271.42,274.77,268.07,272.23,4260084,1,1
30708,265.71,269.88,264.01,268.77,2400686,1,0
20708,268.52,270.46,263.29,263.78,4225485,0,1
10708,260.05,268.63,258.76,267.63,4961186,1,0
300608,266.51,269.27,261.79,263.47,3765738,0,1
270608,264.1,265.26,257.8,264.3,5446925,1,0
260608,272.32,272.74,264.39,264.67,5660281,0,1
250608,272.76,279.18,272.11,275.78,4126218,1,0
240608,272.84,275.87,267.82,271.42,4672590,0,0
230608,272.95,276.85,271.28,272.88,3636930,0,0
200608,278.77,278.77,272.53,273.49,5983267,0,1
190608,277.95,282.17,275.68,280.38,5683305,1,0
180608,282.54,284.78,279.86,281.47,3388111,0,0
170608,288.46,289.32,284.47,285.01,3463538,0,1
160608,283.53,289.84,283.53,286.69,3544066,1,1
130608,281.03,288.14,280.95,286.04,6184523,1,1
120608,274.65,279.28,273.71,276.75,5496577,1,0
110608,278.4,278.95,272.5,272.87,3813039,0,1
100608,275.05,279.69,273.66,277.36,3658060,1,0
90608,284.31,285.28,272.97,279.21,5288503,0,0
60608,290.16,290.65,283.78,283.78,4735039,0,1
50608,288.83,294.31,288.39,293.44,3921519,1,1
40608,282.95,289.29,282.56,286.4,3363944,1,0
30608,288.54,290.54,280.59,283.93,4335870,0,0
20608,291.54,292.24,285.92,287.79,3674673,0,1
300508,292.03,295.25,290.94,293.19,3226189,1,1
290508,287.68,293.23,286.89,291.79,4846918,1,1
280508,284.25,286.03,280.83,284.4,4053146,1,1
270508,272.75,281.58,272.2,280.73,3868084,1,0
230508,273.75,276.78,269.17,272.58,4434523,0,0
220508,276.25,277.38,270.4,275,5077251,0,0
210508,289.55,291,274.22,275.27,6470194,0,1
200508,287.6,291.53,286.74,289.59,3313954,1,0
190508,289.56,294.73,287.05,289.05,5604808,0,0
160508,291.01,292.63,289.45,290.33,4275273,0,1
150508,289.79,291.77,288.09,290.79,4343918,1,0
140508,293.54,295.89,287.91,288.44,4379072,0,0
130508,293.41,294.27,289.56,291.79,5165161,0,1
120508,287.66,293.67,284.74,292.76,4865400,1,0
90508,289.8,292.8,285.9,286.9,4484839,0,0
80508,293.39,294.94,289.74,291.8,5123411,0,0
70508,295.43,300.04,288.5,289.79,6613900,0,0
